episode,reward,length,success,total_steps
247,-2646.671,500,False,117775
248,-4612.368,500,False,118275
249,-5520.2637,500,False,118775
,,,,118784
250,-5007.1104,500,False,119284
251,-4878.4033,500,False,119784
252,-3904.8796,500,False,120284
253,-3034.656,500,False,120784
,,,,120832
254,-2807.6194,500,False,121332
255,-3775.2085,500,False,121832
256,-4648.573,500,False,122332
257,-3835.8184,500,False,122832
,,,,122880
258,-3122.6565,500,False,123380
259,-3959.7314,500,False,123880
260,-3532.6067,500,False,124380
261,-5433.998,500,False,124880
,,,,124928
262,-5632.974,500,False,125428
263,-3304.2515,500,False,125928
264,-3557.71,500,False,126428
265,-5903.68,500,False,126928
,,,,126976
266,-4626.1665,500,False,127476
267,34.841415,30,True,127506
268,-5303.8037,500,False,128006
269,-2038.2616,500,False,128506
270,-4051.5527,500,False,129006
,,,,129024
271,-4396.323,500,False,129524
272,-2353.9395,500,False,130024
273,-3309.4126,500,False,130524
274,-4856.647,500,False,131024
,,,,131072
275,-2636.9722,500,False,131572
276,19.450302,34,True,131606
277,-4159.4976,500,False,132106
278,-4117.0312,500,False,132606
279,-5067.061,500,False,133106
,,,,133120
280,-4718.1777,500,False,133620
281,-39.756653,52,True,133672
282,-2069.5518,500,False,134172
283,-4395.976,500,False,134672
,,,,135168
284,-4742.3335,500,False,135668
285,-3662.3157,500,False,136168
286,-4095.3206,500,False,136668
287,-3763.1902,500,False,137168
,,,,137216
288,-4270.767,500,False,137716
289,-4210.524,500,False,138216
290,100.0,1,True,138217
291,-4865.759,500,False,138717
292,-4278.9854,500,False,139217
,,,,139264
293,-4094.212,500,False,139764
294,-5234.1104,500,False,140264
295,-5878.539,500,False,140764
296,-3024.076,500,False,141264
,,,,141312
297,-4622.283,500,False,141812
298,-4174.3267,500,False,142312
299,76.75391,19,True,142331
300,-3742.0771,500,False,142831
301,-2888.6833,500,False,143331
,,,,143360
302,-5341.5537,500,False,143860
303,-3472.2092,500,False,144360
304,-2237.7686,500,False,144860
305,-2354.8164,500,False,145360
,,,,145408
306,-3870.139,500,False,145908
307,-4615.9116,500,False,146408
308,-3206.0537,500,False,146908
309,-3474.8481,500,False,147408
,,,,147456
310,-4442.808,500,False,147956
311,-5260.725,500,False,148456
312,-4074.5728,500,False,148956
313,-5151.777,500,False,149456
,,,,149504
314,-2532.057,500,False,150004
315,-4129.2744,500,False,150504
316,-5106.004,500,False,151004
317,-4534.302,500,False,151504
,,,,151552
318,-5426.1265,500,False,152052
319,-1934.4142,500,False,152552
320,-1981.282,500,False,153052
321,-4312.512,500,False,153552
,,,,153600
322,-2609.235,500,False,154100
323,-4320.1123,500,False,154600
324,-5410.4717,500,False,155100
325,-5447.8,500,False,155600
,,,,155648
326,-3927.2021,500,False,156148
327,-4423.4517,500,False,156648
328,-4091.6592,500,False,157148
329,-3305.8164,500,False,157648
,,,,157696
330,-5292.274,500,False,158196
331,-2889.7468,500,False,158696
332,-5179.764,500,False,159196
333,-353.16342,42,True,159238
334,-2356.8633,500,False,159738
,,,,159744
335,-3403.711,500,False,160244
336,-2517.502,500,False,160744
337,-4234.7593,500,False,161244
338,-4863.7705,500,False,161744
,,,,161792
339,-4184.024,500,False,162292
340,-4142.149,500,False,162792
341,-4702.0615,500,False,163292
342,-4170.1133,500,False,163792
,,,,163840
343,-4652.1426,500,False,164340
344,-4788.233,500,False,164840
345,-4054.6887,500,False,165340
346,-4394.236,500,False,165840
,,,,165888
347,-2162.6875,500,False,166388
348,-3747.728,500,False,166888
349,-4512.684,500,False,167388
350,-4985.015,500,False,167888
,,,,167936
351,-2635.7173,500,False,168436
352,-4717.5015,500,False,168936
353,-2852.937,500,False,169436
354,-4966.1387,500,False,169936
,,,,169984
355,-4269.008,500,False,170484
356,-4590.6157,500,False,170984
357,-5299.2134,500,False,171484
358,-4279.045,500,False,171984
,,,,172032
359,-4694.5215,500,False,172532
360,-4873.831,500,False,173032
361,-3099.3228,500,False,173532
362,-4761.03,500,False,174032
,,,,174080
363,-3790.456,500,False,174580
364,-4772.1562,500,False,175080
365,-4646.7197,500,False,175580
366,-5583.9717,500,False,176080
,,,,176128
367,-4560.96,500,False,176628
368,-4604.4565,500,False,177128
369,-2008.8604,500,False,177628
370,-2119.3862,500,False,178128
,,,,178176
371,-5348.6274,500,False,178676
372,-2051.706,500,False,179176
373,-2196.638,500,False,179676
374,-5233.9497,500,False,180176
,,,,180224
375,-3554.441,500,False,180724
376,-5145.1455,500,False,181224
377,-3816.024,500,False,181724
378,-3409.0042,500,False,182224
,,,,182272
379,-5022.3384,500,False,182772
380,-4134.996,500,False,183272
381,-4439.9307,500,False,183772
382,-5407.6,500,False,184272
,,,,184320
383,-3418.978,500,False,184820
384,-1944.3011,500,False,185320
385,-5020.599,500,False,185820
